F1 Score,Lost,Empty,Inconclusive,Won
0.6544883389254927,-1.0,-0.2,0.6000000000000001,0.9000000000000001
0.657758350166165,-1.0,-0.2,0.6000000000000001,1.0000000000000002
0.4782312048094784,-1.0,-0.2,0.7,-0.2
0.5004795409692063,-1.0,-0.2,0.7,-0.1
0.5425925378133004,-1.0,-0.2,0.7,0.0
0.5772351674575056,-1.0,-0.2,0.7,0.10000000000000003
0.5951870454422046,-1.0,-0.2,0.7,0.2
0.6114903858390358,-1.0,-0.2,0.7,0.3
0.6235221753229199,-1.0,-0.2,0.7,0.4000000000000001
0.6324077317717263,-1.0,-0.2,0.7,0.5
0.6356292917092338,-1.0,-0.2,0.7,0.6000000000000001
0.6404863291574807,-1.0,-0.2,0.7,0.7
0.6468946723626923,-1.0,-0.2,0.7,0.8
0.6527136209456998,-1.0,-0.2,0.7,0.9000000000000001
0.6559578463837177,-1.0,-0.2,0.7,1.0000000000000002
0.4757446948372573,-1.0,-0.2,0.8,-0.2
0.4953328917764401,-1.0,-0.2,0.8,-0.1
0.5399071851020321,-1.0,-0.2,0.8,0.0
0.5738379069549752,-1.0,-0.2,0.8,0.10000000000000003
0.5914782774692509,-1.0,-0.2,0.8,0.2
0.6069367189728796,-1.0,-0.2,0.8,0.3
0.6207789369433927,-1.0,-0.2,0.8,0.4000000000000001
0.6255862889134328,-1.0,-0.2,0.8,0.5
0.6318096913599877,-1.0,-0.2,0.8,0.6000000000000001
0.6351095370344124,-1.0,-0.2,0.8,0.7
0.640872190775267,-1.0,-0.2,0.8,0.8
0.6477583675120682,-1.0,-0.2,0.8,0.9000000000000001
0.6543945383801578,-1.0,-0.2,0.8,1.0000000000000002
0.4750653941045345,-1.0,-0.2,0.9000000000000001,-0.2
0.4918623686530236,-1.0,-0.2,0.9000000000000001,-0.1
0.5382810318832818,-1.0,-0.2,0.9000000000000001,0.0
0.5712912069255291,-1.0,-0.2,0.9000000000000001,0.10000000000000003
0.587420874721187,-1.0,-0.2,0.9000000000000001,0.2
0.602886077388844,-1.0,-0.2,0.9000000000000001,0.3
0.6127166337828343,-1.0,-0.2,0.9000000000000001,0.4000000000000001
0.6209435215372614,-1.0,-0.2,0.9000000000000001,0.5
0.6272066442365405,-1.0,-0.2,0.9000000000000001,0.6000000000000001
0.6302437297687371,-1.0,-0.2,0.9000000000000001,0.7
0.6349688809853069,-1.0,-0.2,0.9000000000000001,0.8
0.6411264058630026,-1.0,-0.2,0.9000000000000001,0.9000000000000001
0.6490822562243159,-1.0,-0.2,0.9000000000000001,1.0000000000000002
0.47407821073353085,-1.0,-0.2,1.0000000000000002,-0.2
0.4905647972006498,-1.0,-0.2,1.0000000000000002,-0.1
0.5314260212155726,-1.0,-0.2,1.0000000000000002,0.0
0.5703312144643711,-1.0,-0.2,1.0000000000000002,0.10000000000000003
0.5849088019927103,-1.0,-0.2,1.0000000000000002,0.2
0.6016347850976527,-1.0,-0.2,1.0000000000000002,0.3
0.6094323819275576,-1.0,-0.2,1.0000000000000002,0.4000000000000001
0.6145078136498483,-1.0,-0.2,1.0000000000000002,0.5
0.624560267874446,-1.0,-0.2,1.0000000000000002,0.6000000000000001
0.629960822507158,-1.0,-0.2,1.0000000000000002,0.7
0.6312627030277667,-1.0,-0.2,1.0000000000000002,0.8
0.6359498100781081,-1.0,-0.2,1.0000000000000002,0.9000000000000001
0.6438672058167207,-1.0,-0.2,1.0000000000000002,1.0000000000000002
0.4268214200983482,-1.0,-0.1,-0.2,-0.2
0.45996223578391093,-1.0,-0.1,-0.2,-0.1
0.5202443692658559,-1.0,-0.1,-0.2,0.0
0.577354154053375,-1.0,-0.1,-0.2,0.10000000000000003
0.5851667794700697,-1.0,-0.1,-0.2,0.2
0.5933226099236207,-1.0,-0.1,-0.2,0.3
0.6034934503863439,-1.0,-0.1,-0.2,0.4000000000000001
0.6055562286022278,-1.0,-0.1,-0.2,0.5
0.6089549605896852,-1.0,-0.1,-0.2,0.6000000000000001
0.6102671075340944,-1.0,-0.1,-0.2,0.7
0.6129748396154888,-1.0,-0.1,-0.2,0.8
0.6152305645917795,-1.0,-0.1,-0.2,0.9000000000000001
0.6177136661045514,-1.0,-0.1,-0.2,1.0000000000000002
0.42220600606057623,-1.0,-0.1,-0.1,-0.2
0.44758438022441394,-1.0,-0.1,-0.1,-0.1
0.520780193913514,-1.0,-0.1,-0.1,0.0
0.5904171914041341,-1.0,-0.1,-0.1,0.10000000000000003
0.5947827060441384,-1.0,-0.1,-0.1,0.2
0.6009312206467389,-1.0,-0.1,-0.1,0.3
0.6066068486941776,-1.0,-0.1,-0.1,0.4000000000000001
0.6087167096362347,-1.0,-0.1,-0.1,0.5
0.6111699220040608,-1.0,-0.1,-0.1,0.6000000000000001
0.6124203056679232,-1.0,-0.1,-0.1,0.7
0.6135455755363586,-1.0,-0.1,-0.1,0.8
0.6158583111397611,-1.0,-0.1,-0.1,0.9000000000000001
0.6189453024555553,-1.0,-0.1,-0.1,1.0000000000000002
0.4318912550318713,-1.0,-0.1,0.0,-0.2
0.45286750920624375,-1.0,-0.1,0.0,-0.1
0.5279647724179873,-1.0,-0.1,0.0,0.0
0.6131431305952527,-1.0,-0.1,0.0,0.10000000000000003
0.6146475749172042,-1.0,-0.1,0.0,0.2
0.6181279208057573,-1.0,-0.1,0.0,0.3
0.6203360877001127,-1.0,-0.1,0.0,0.4000000000000001
0.6230341846536148,-1.0,-0.1,0.0,0.5
0.6252068617100491,-1.0,-0.1,0.0,0.6000000000000001
0.6260926515814604,-1.0,-0.1,0.0,0.7
0.6268653508991745,-1.0,-0.1,0.0,0.8
0.6287704529848073,-1.0,-0.1,0.0,0.9000000000000001
0.6365677317283194,-1.0,-0.1,0.0,1.0000000000000002
0.4648160052616586,-1.0,-0.1,0.10000000000000003,-0.2
0.4944139459515339,-1.0,-0.1,0.10000000000000003,-0.1
0.5498497272531879,-1.0,-0.1,0.10000000000000003,0.0
0.6275187673181967,-1.0,-0.1,0.10000000000000003,0.10000000000000003
0.6348278536491274,-1.0,-0.1,0.10000000000000003,0.2
0.6427665673226846,-1.0,-0.1,0.10000000000000003,0.3
0.6463058844303942,-1.0,-0.1,0.10000000000000003,0.4000000000000001
0.6478942940438508,-1.0,-0.1,0.10000000000000003,0.5
0.6503008162854051,-1.0,-0.1,0.10000000000000003,0.6000000000000001
0.6518579636832367,-1.0,-0.1,0.10000000000000003,0.7
0.6554033709344439,-1.0,-0.1,0.10000000000000003,0.8
0.6576159364005962,-1.0,-0.1,0.10000000000000003,0.9000000000000001
0.6602839158561404,-1.0,-0.1,0.10000000000000003,1.0000000000000002
0.4680145045973227,-1.0,-0.1,0.2,-0.2
0.49694545050926275,-1.0,-0.1,0.2,-0.1
0.5487170162072992,-1.0,-0.1,0.2,0.0
0.6174435638784337,-1.0,-0.1,0.2,0.10000000000000003
0.629503965199701,-1.0,-0.1,0.2,0.2
0.6382742750844492,-1.0,-0.1,0.2,0.3
0.6465347835780184,-1.0,-0.1,0.2,0.4000000000000001
0.6482778504652137,-1.0,-0.1,0.2,0.5
0.6529586233433458,-1.0,-0.1,0.2,0.6000000000000001
0.6542336276506588,-1.0,-0.1,0.2,0.7
0.6566708501025906,-1.0,-0.1,0.2,0.8
0.6580853777275446,-1.0,-0.1,0.2,0.9000000000000001
0.6600842768452688,-1.0,-0.1,0.2,1.0000000000000002
0.47135708498236867,-1.0,-0.1,0.3,-0.2
0.497991694028339,-1.0,-0.1,0.3,-0.1
0.5483780300466105,-1.0,-0.1,0.3,0.0
0.6076071563335328,-1.0,-0.1,0.3,0.10000000000000003
0.6244520943082388,-1.0,-0.1,0.3,0.2
0.6335540851071382,-1.0,-0.1,0.3,0.3
0.6476716314822135,-1.0,-0.1,0.3,0.4000000000000001
0.649214497253821,-1.0,-0.1,0.3,0.5
0.6532260519061499,-1.0,-0.1,0.3,0.6000000000000001
0.6555285173245936,-1.0,-0.1,0.3,0.7
0.6573145367967296,-1.0,-0.1,0.3,0.8
0.6587425880381632,-1.0,-0.1,0.3,0.9000000000000001
0.6608792034441446,-1.0,-0.1,0.3,1.0000000000000002
0.47257640126040645,-1.0,-0.1,0.4000000000000001,-0.2
