dataset,White_Positive_ds
boardsize,6
num_boards,106111
Board#,NumPieces,MatchPlayer,MatchType,MatchBaseName,MatchVarName,MatchX,MatchY
353,7,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
357,7,0,MatchType.EMPTY,bridge,,4,2
358,6,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
359,7,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
360,7,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
361,8,0,MatchType.EMPTY,bridge,,4,2
361,8,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
362,2,0,MatchType.EMPTY,bridge,,4,0
363,3,0,MatchType.EMPTY,bridge,,4,0
367,4,1,MatchType.EMPTY,bridge,rot120,3,3
374,4,1,MatchType.EMPTY,bridge,,0,3
375,5,1,MatchType.EMPTY,bridge,,0,3
376,3,1,MatchType.EMPTY,bridge,rot60,1,2
377,4,1,MatchType.EMPTY,bridge,rot60,1,2
378,4,1,MatchType.EMPTY,bridge,rot60,1,2
379,5,1,MatchType.EMPTY,bridge,rot60,1,2
380,4,1,MatchType.EMPTY,bridge,rot60,1,2
381,5,1,MatchType.EMPTY,bridge,rot60,1,2
382,5,1,MatchType.EMPTY,bridge,,0,3
382,5,1,MatchType.EMPTY,bridge,rot60,1,2
383,6,1,MatchType.EMPTY,bridge,,0,3
383,6,1,MatchType.EMPTY,bridge,rot60,1,2
423,4,0,MatchType.EMPTY,bridge,,0,3
427,5,0,MatchType.EMPTY,bridge,,0,3
428,3,1,MatchType.EMPTY,bridge,rot120,2,3
429,4,1,MatchType.EMPTY,bridge,rot120,2,3
430,4,1,MatchType.EMPTY,bridge,rot120,2,3
431,5,0,MatchType.EMPTY,bridge,,0,3
431,5,1,MatchType.EMPTY,bridge,rot120,2,3
432,4,1,MatchType.EMPTY,bridge,rot120,2,3
433,5,1,MatchType.EMPTY,bridge,rot120,2,3
434,5,1,MatchType.EMPTY,bridge,rot120,2,3
435,6,0,MatchType.EMPTY,bridge,,0,3
435,6,1,MatchType.EMPTY,bridge,rot120,2,3
436,3,1,MatchType.EMPTY,bridge,rot60,1,2
437,4,1,MatchType.EMPTY,bridge,rot60,1,2
438,4,1,MatchType.EMPTY,bridge,rot60,1,2
439,5,0,MatchType.EMPTY,bridge,,0,3
439,5,1,MatchType.EMPTY,bridge,rot60,1,2
440,4,1,MatchType.EMPTY,bridge,rot60,1,2
441,5,1,MatchType.EMPTY,bridge,rot60,1,2
442,5,1,MatchType.EMPTY,bridge,rot60,1,2
443,6,0,MatchType.EMPTY,bridge,,0,3
443,6,1,MatchType.EMPTY,bridge,rot60,1,2
444,4,1,MatchType.EMPTY,bridge,,1,2
444,4,1,MatchType.EMPTY,bridge,rot60,1,2
444,4,1,MatchType.EMPTY,bridge,rot120,2,3
444,4,1,MatchType.EMPTY,wheel,rot60,1,2
445,5,1,MatchType.EMPTY,bridge,,1,2
445,5,1,MatchType.EMPTY,bridge,rot60,1,2
445,5,1,MatchType.EMPTY,bridge,rot120,2,3
